183,791
791,595
595,182
182,499
499,593
593,181
181,180
180,594
594,185
185,89
89,107
107,250
250,261
261,597
597,953
953,609
609,242
242,255
255,604
604,628
628,39
39,50
50,599
599,40
40,985
985,608
608,249
249,254
254,622
622,51
51,44
44,251
251,38
38,620
620,45
45,614
614,46
46,42
42,600
600,602
602,601
601,48
48,49
49,612
612,613
613,611
611,610
610,336
336,357
357,334
334,339
339,347
347,86
86,85
85,341
341,342
342,365
365,366
366,460
460,468
468,485
485,486
486,487
487,488
488,469
469,462
462,480
480,494
494,957
957,465
465,186
186,466
466,467
467,78
78,79
745,736
736,147
147,156
156,734
734,161
161,162
162,172
172,171
171,595
595,594
185,107
107,237
237,250
953,248
248,244
244,245
245,243
243,247
247,609
609,799
799,599
599,1010
1010,246
246,260
260,227
227,230
230,234
234,224
224,239
239,238
238,226
226,1001
1001,607
607,232
232,52
52,233
233,231
231,241
241,240
240,859
859,858
858,332
332,331
331,315
315,312
312,360
360,313
313,323
323,351
351,352
352,339
342,346
346,343
343,345
345,344
344,363
363,335
335,457
457,458
458,490
490,491
491,56
56,655
655,654
654,78
78,80
156,161
171,799
799,1010
1010,227
224,226
226,232
231,886
886,473
473,470
470,483
483,482
482,476
476,904
904,472
472,902
902,893
893,465
186,652
652,6
6,466
466,9
9,467
182,181
89,90
90,107
250,597
609,599
599,1001
953,605
605,606
606,609
609,82
82,604
40,622
51,38
45,602
601,860
860,861
861,359
359,349
349,29
29,646
646,642
642,30
30,17
17,643
643,20
20,36
36,638
638,637
637,361
361,362
362,37
37,26
26,27
27,28
28,641
641,635
635,679
679,688
688,675
675,72
72,75
75,671
671,657
657,70
70,526
106,711
711,125
125,1013
1013,103
103,127
127,715
715,102
102,101
101,134
134,744
744,135
135,136
136,152
152,732
732,740
740,146
146,737
737,145
145,160
160,148
148,733
125,127
715,744
744,744
744,152
732,733
733,151
151,743
743,739
739,158
158,157
157,84
84,83
83,690
690,738
738,708
708,1015
1015,1016
1016,169
169,789
789,817
817,815
815,814
814,813
813,235
235,816
816,236
236,223
223,1009
1009,801
801,805
805,808
808,809
809,800
800,229
229,803
803,632
632,804
804,802
802,811
811,810
810,841
841,842
842,837
837,835
835,836
836,838
838,454
454,455
455,453
732,780
780,751
751,779
779,775
775,776
776,774
774,773
773,777
777,778
778,762
762,756
756,781
781,785
785,208
208,797
797,191
191,795
795,796
796,828
828,284
284,285
285,282
282,283
283,281
281,294
294,378
378,379
379,989
989,869
869,88
88,419
419,541
541,542
542,503
503,516
516,543
543,10
10,540
540,518
518,538
538,310
310,521
521,505
505,501
501,967
967,913
913,577
577,944
944,969
969,579
579,581
581,941
941,576
576,585
585,584
584,583
590,591
591,592
592,173
173,174
174,175
175,176
176,177
177,178
178,693
693,692
692,817
817,813
813,816
236,1009
800,803
838,320
320,324
324,325
325,317
317,319
319,318
318,327
327,326
326,273
273,274
274,431
431,437
437,423
423,439
439,409
858,360
360,370
370,351
351,19
19,371
371,18
18,352
352,16
16,339
347,362
362,26
28,86
86,348
348,85
85,337
337,338
338,341
346,345
335,492
492,340
340,468
872,391
391,871
871,407
407,873
873,394
394,403
403,404
404,408
408,390
390,874
874,875
875,398
398,399
399,548
548,549
549,570
570,564
564,551
551,565
565,553
553,552
552,554
554,540
540,567
567,919
919,533
533,920
920,566
566,534
534,531
531,539
539,532
532,530
530,504
504,517
517,310
310,925
925,521
501,1025
704,717
717,716
716,726
726,727
727,722
722,723
723,751
751,762
756,208
828,830
830,832
832,827
827,831
831,266
266,829
829,272
272,271
